paragraphs_count;sentences_count;words_count;letters_count;total_question_marks;name;author
38;109;1356;7004;10;./data/A_P_Chehov\Мститель (Чехов).txt;A_P_Chehov
36;115;1414;7143;11;./data/A_P_Chehov\Муж (Чехов).txt;A_P_Chehov
9;11;123;549;2;./data/A_P_Chehov\Мысли читателя газет и журналов (Чехов).txt;A_P_Chehov
25;99;931;4503;12;./data/A_P_Chehov\Мыслитель (Чехов).txt;A_P_Chehov
51;154;1260;6689;25;./data/A_P_Chehov\На волчьей садке (Чехов).txt;A_P_Chehov
26;78;423;2256;8;./data/A_P_Chehov\На гвозде (Чехов).txt;A_P_Chehov
32;70;582;2767;14;./data/A_P_Chehov\На гулянье в Сокольниках (Чехов).txt;A_P_Chehov
64;158;1380;6576;23;./data/A_P_Chehov\На даче (Чехов).txt;A_P_Chehov
22;53;593;2934;8;./data/A_P_Chehov\На кладбище (Чехов).txt;A_P_Chehov
42;97;647;3312;10;./data/A_P_Chehov\На магнетическом сеансе (Чехов).txt;A_P_Chehov
59;159;1687;8135;15;./data/A_P_Chehov\На мельнице (Чехов).txt;A_P_Chehov
18;49;509;2435;1;./data/A_P_Chehov\На охоте (Чехов).txt;A_P_Chehov
74;219;2494;12071;17;./data/A_P_Chehov\На подводе (Чехов).txt;A_P_Chehov
37;149;1980;9911;7;./data/A_P_Chehov\На реке (Чехов).txt;A_P_Chehov
52;145;1333;6589;10;./data/A_P_Chehov\На святках (Чехов).txt;A_P_Chehov
39;107;1410;6963;10;./data/A_P_Chehov\На страстной неделе (Чехов).txt;A_P_Chehov
39;121;1082;5282;14;./data/A_P_Chehov\На чужбине (Чехов).txt;A_P_Chehov
42;107;934;4970;10;./data/A_P_Chehov\Надлежащие меры (Чехов).txt;A_P_Chehov
3;9;88;466;1;./data/A_P_Chehov\Надул (Чехов).txt;A_P_Chehov
12;68;859;4219;7;./data/A_P_Chehov\Наивный леший (Чехов).txt;A_P_Chehov
49;165;1327;6652;24;./data/A_P_Chehov\Накануне поста (Чехов).txt;A_P_Chehov
58;177;1300;6365;23;./data/A_P_Chehov\Налим (Чехов).txt;A_P_Chehov
37;92;559;2716;7;./data/A_P_Chehov\Нарвался (Чехов).txt;A_P_Chehov
54;180;1715;8284;13;./data/A_P_Chehov\Нахлебники (Чехов).txt;A_P_Chehov
3;19;139;719;0;./data/A_P_Chehov\Находчивость г. Родона (Чехов).txt;A_P_Chehov
32;92;865;4369;10;./data/A_P_Chehov\Начальник станции (Чехов).txt;A_P_Chehov
20;54;504;2473;4;./data/A_P_Chehov\Не в духе (Чехов).txt;A_P_Chehov
30;126;1142;5693;12;./data/A_P_Chehov\Не судьба! (Чехов).txt;A_P_Chehov
6;12;98;580;1;./data/A_P_Chehov\Не тлетворные мысли (Чехов).txt;A_P_Chehov
158;501;5704;27174;28;./data/A_P_Chehov\Невеста (Чехов).txt;A_P_Chehov
44;139;1424;7021;21;./data/A_P_Chehov\Невидимые миру слезы (Чехов).txt;A_P_Chehov
60;169;1387;7382;15;./data/A_P_Chehov\Недобрая ночь (Чехов).txt;A_P_Chehov
72;182;1337;6395;30;./data/A_P_Chehov\Недоброе дело (Чехов).txt;A_P_Chehov
51;157;1401;6686;19;./data/A_P_Chehov\Ненастье (Чехов).txt;A_P_Chehov
912;2929;24706;125152;390;./data/A_P_Chehov\Ненужная победа (Чехов).txt;A_P_Chehov
12;24;192;912;2;./data/A_P_Chehov\Необходимое предисловие (Чехов).txt;A_P_Chehov
47;115;1170;5984;4;./data/A_P_Chehov\Необыкновенный (Чехов).txt;A_P_Chehov
39;108;1087;5391;23;./data/A_P_Chehov\Неосторожность (Чехов).txt;A_P_Chehov
80;209;1822;8819;28;./data/A_P_Chehov\Неприятная история (Чехов).txt;A_P_Chehov
152;486;5744;28232;71;./data/A_P_Chehov\Неприятность (Чехов).txt;A_P_Chehov
34;110;1062;5310;16;./data/A_P_Chehov\Нервы (Чехов).txt;A_P_Chehov
4;13;155;876;0;./data/A_P_Chehov\Несколько мыслей о душе (Чехов).txt;A_P_Chehov
12;33;305;1625;4;./data/A_P_Chehov\Несообразные мысли (Чехов).txt;A_P_Chehov
109;340;3849;18836;38;./data/A_P_Chehov\Несчастье (Чехов).txt;A_P_Chehov
24;68;470;2388;5;./data/A_P_Chehov\Неудача (Чехов).txt;A_P_Chehov
16;32;117;591;4;./data/A_P_Chehov\Неудачный визит (Чехов).txt;A_P_Chehov
40;157;847;4632;8;./data/A_P_Chehov\Нечистые трагики и прокажённые драматурги (Чехов).txt;A_P_Chehov
13;17;209;1239;0;./data/A_P_Chehov\Нечто серьёзное (Чехов).txt;A_P_Chehov
35;117;1384;6589;18;./data/A_P_Chehov\Ниночка (Чехов).txt;A_P_Chehov
50;159;1489;7292;20;./data/A_P_Chehov\Нищий (Чехов).txt;A_P_Chehov
2;9;67;425;0;./data/A_P_Chehov\Новая болезнь и старое средство (Чехов).txt;A_P_Chehov
115;386;4094;19417;27;./data/A_P_Chehov\Новая дача (Чехов).txt;A_P_Chehov
11;67;567;3116;3;./data/A_P_Chehov\Новейший письмовник (Чехов).txt;A_P_Chehov
31;61;678;3485;12;./data/A_P_Chehov\Новогодние великомученики (Чехов).txt;A_P_Chehov
61;161;1422;6968;26;./data/A_P_Chehov\Новогодняя пытка (Чехов).txt;A_P_Chehov
26;56;1003;5010;2;./data/A_P_Chehov\Ночь на кладбище (Чехов).txt;A_P_Chehov
53;157;1402;6973;12;./data/A_P_Chehov\Ночь перед судом (Чехов).txt;A_P_Chehov
48;128;935;4971;9;./data/A_P_Chehov\Ну, публика! (Чехов).txt;A_P_Chehov
7;77;1218;5965;3;./data/A_P_Chehov\Нытьё (Чехов).txt;A_P_Chehov
4;16;236;1285;2;./data/A_P_Chehov\О бренности (Чехов).txt;A_P_Chehov
18;62;631;3172;12;./data/A_P_Chehov\О драме (Чехов).txt;A_P_Chehov
8;40;624;3364;0;./data/A_P_Chehov\О женщинах (Чехов).txt;A_P_Chehov
18;47;447;2301;10;./data/A_P_Chehov\О женщины, женщины! (Чехов).txt;A_P_Chehov
48;175;3080;14388;13;./data/A_P_Chehov\О любви (Чехов).txt;A_P_Chehov
8;102;1662;9213;1;./data/A_P_Chehov\О марте. Об апреле. О мае. Об июне и июле. Об августе (Чехов).txt;A_P_Chehov
28;103;890;4178;11;./data/A_P_Chehov\О том, как я в законный брак вступил (Чехов).txt;A_P_Chehov
11;23;223;1134;2;./data/A_P_Chehov\О том, о сём (Чехов).txt;A_P_Chehov
29;108;1298;6471;5;./data/A_P_Chehov\Оба лучше (Чехов).txt;A_P_Chehov
5;16;160;848;0;./data/A_P_Chehov\Обер-верхи (Чехов).txt;A_P_Chehov
17;132;1319;6282;12;./data/A_P_Chehov\Общее образование (Чехов).txt;A_P_Chehov
62;178;1705;8555;18;./data/A_P_Chehov\Обыватели (Чехов).txt;A_P_Chehov
214;809;11847;57758;73;./data/A_P_Chehov\Огни (Чехов).txt;A_P_Chehov
34;199;1954;9335;25;./data/A_P_Chehov\Один из многих (Чехов).txt;A_P_Chehov
57;223;2388;11832;12;./data/A_P_Chehov\Он и она (Чехов).txt;A_P_Chehov
104;337;2835;13978;43;./data/A_P_Chehov\Он понял! (Чехов).txt;A_P_Chehov
26;95;766;3795;12;./data/A_P_Chehov\Опекун (Чехов).txt;A_P_Chehov
25;90;927;4924;8;./data/A_P_Chehov\Оратор (Чехов).txt;A_P_Chehov
29;96;847;4432;1;./data/A_P_Chehov\Орден (Чехов).txt;A_P_Chehov
58;204;1637;8009;24;./data/A_P_Chehov\Осенью (Чехов).txt;A_P_Chehov
58;191;1544;7630;12;./data/A_P_Chehov\От нечего делать (Чехов).txt;A_P_Chehov
8;25;207;1122;1;./data/A_P_Chehov\Отвергнутая любовь (Чехов).txt;A_P_Chehov
70;253;2244;10445;16;./data/A_P_Chehov\Отец (Чехов).txt;A_P_Chehov
41;144;1101;5425;34;./data/A_P_Chehov\Отец семейства (Чехов).txt;A_P_Chehov
55;132;1356;6490;20;./data/A_P_Chehov\Отрава (Чехов).txt;A_P_Chehov
6;36;402;2055;3;./data/A_P_Chehov\Отрывок (Чехов).txt;A_P_Chehov
17;51;556;2776;3;./data/A_P_Chehov\Отставной раб (Чехов).txt;A_P_Chehov
41;128;1434;7510;17;./data/A_P_Chehov\Панихида (Чехов).txt;A_P_Chehov
86;213;1680;8032;43;./data/A_P_Chehov\Папаша (Чехов).txt;A_P_Chehov
43;168;2169;10841;8;./data/A_P_Chehov\Пари (Чехов).txt;A_P_Chehov
43;196;2070;10309;32;./data/A_P_Chehov\Пассажир 1-го класса (Чехов).txt;A_P_Chehov
13;49;425;2319;0;./data/A_P_Chehov\Патриот своего отечества (Чехов).txt;A_P_Chehov
49;159;1297;6700;12;./data/A_P_Chehov\Певчие (Чехов).txt;A_P_Chehov
60;196;1580;7978;34;./data/A_P_Chehov\Первый дебют (Чехов).txt;A_P_Chehov
55;189;1323;6941;12;./data/A_P_Chehov\Первый любовник (Чехов).txt;A_P_Chehov
21;85;737;3687;4;./data/A_P_Chehov\Перед затмением (Чехов).txt;A_P_Chehov
16;190;1445;6816;27;./data/A_P_Chehov\Перед свадьбой (Чехов).txt;A_P_Chehov
18;48;308;1562;9;./data/A_P_Chehov\Пережитое (Чехов).txt;A_P_Chehov
86;294;4564;22984;21;./data/A_P_Chehov\Перекати-поле (Чехов).txt;A_P_Chehov
70;216;2034;10118;35;./data/A_P_Chehov\Переполох (Чехов).txt;A_P_Chehov
11;24;185;1115;0;./data/A_P_Chehov\Перепутанные объявления (Чехов).txt;A_P_Chehov
25;80;1005;4974;9;./data/A_P_Chehov\Персона (Чехов).txt;A_P_Chehov
190;518;3309;17380;77;./data/A_P_Chehov\Петров день (Чехов).txt;A_P_Chehov
68;256;3054;14309;20;./data/A_P_Chehov\Печенег (Чехов).txt;A_P_Chehov
29;96;957;4908;8;./data/A_P_Chehov\Писатель (Чехов).txt;A_P_Chehov
10;42;427;2184;2;./data/A_P_Chehov\Письма (Чехов).txt;A_P_Chehov
102;382;3320;16077;60;./data/A_P_Chehov\Письмо (Чехов, 1887).txt;A_P_Chehov
19;115;1626;7963;10;./data/A_P_Chehov\Письмо (Чехов, конец 1880-х — начало 1890-х годов).txt;A_P_Chehov
5;35;301;1463;1;./data/A_P_Chehov\Письмо в редакцию (Чехов).txt;A_P_Chehov
1;12;100;534;0;./data/A_P_Chehov\Письмо к репортёру (Чехов).txt;A_P_Chehov
4;90;1319;6783;8;./data/A_P_Chehov\Письмо к учёному соседу (Чехов).txt;A_P_Chehov
8;9;104;503;0;./data/A_P_Chehov\Плоды долгих размышлений (Чехов).txt;A_P_Chehov
120;387;4660;22354;30;./data/A_P_Chehov\По делам службы (Чехов).txt;A_P_Chehov
13;53;507;2643;2;./data/A_P_Chehov\По-американски (Чехов).txt;A_P_Chehov
66;155;1368;6937;32;./data/A_P_Chehov\Полинька (Чехов).txt;A_P_Chehov
50;195;1166;5646;25;./data/A_P_Chehov\После бенефиса (Чехов).txt;A_P_Chehov
20;61;884;4180;2;./data/A_P_Chehov\После театра (Чехов).txt;A_P_Chehov
54;154;1273;6344;21;./data/A_P_Chehov\Последняя могиканша (Чехов).txt;A_P_Chehov
103;374;5560;28378;33;./data/A_P_Chehov\Поцелуй (Чехов).txt;A_P_Chehov
54;174;1646;8361;14;./data/A_P_Chehov\Почта (Чехов).txt;A_P_Chehov
20;66;859;4708;1;./data/A_P_Chehov\Правила для начинающих авторов (Чехов).txt;A_P_Chehov
45;116;930;4607;16;./data/A_P_Chehov\Праздничная повинность (Чехов).txt;A_P_Chehov
12;32;365;1904;1;./data/A_P_Chehov\Праздничные (Чехов).txt;A_P_Chehov
21;33;314;1700;3;./data/A_P_Chehov\Предложение (рассказ, Чехов).txt;A_P_Chehov
3;5;123;740;0;./data/A_P_Chehov\Предписание (Чехов).txt;A_P_Chehov
46;149;1479;7202;10;./data/A_P_Chehov\Приданое (Чехов).txt;A_P_Chehov
8;24;194;892;0;./data/A_P_Chehov\Признательный немец (Чехов).txt;A_P_Chehov
205;612;6613;32826;78;./data/A_P_Chehov\Припадок (Чехов).txt;A_P_Chehov
43;103;1067;5445;10;./data/A_P_Chehov\Произведение искусства (Чехов).txt;A_P_Chehov
43;148;1757;8330;8;./data/A_P_Chehov\Происшествие (Чехов).txt;A_P_Chehov
55;178;1281;6051;29;./data/A_P_Chehov\Пропащее дело (Чехов).txt;A_P_Chehov
21;73;614;2992;3;./data/A_P_Chehov\Протекция (Чехов).txt;A_P_Chehov
14;24;226;1074;1;./data/A_P_Chehov\Прощение (Чехов).txt;A_P_Chehov
28;128;1112;5328;17;./data/A_P_Chehov\Психопаты (Чехов).txt;A_P_Chehov
64;229;2952;15059;18;./data/A_P_Chehov\Пустой случай (Чехов).txt;A_P_Chehov
68;195;1612;7868;26;./data/A_P_Chehov\Пьяные (Чехов).txt;A_P_Chehov
31;80;474;2551;9;./data/A_P_Chehov\Радость (Чехов).txt;A_P_Chehov
45;136;997;5114;19;./data/A_P_Chehov\Раз в год (Чехов).txt;A_P_Chehov
24;94;545;2560;25;./data/A_P_Chehov\Разговор человека с собакой (Чехов).txt;A_P_Chehov
28;61;480;2284;11;./data/A_P_Chehov\Размазня (Чехов).txt;A_P_Chehov
45;140;1412;6981;9;./data/A_P_Chehov\Рано! (Чехов).txt;A_P_Chehov
82;253;2455;12169;31;./data/A_P_Chehov\Рассказ без конца (Чехов).txt;A_P_Chehov
38;98;1331;6144;4;./data/A_P_Chehov\Рассказ госпожи NN (Чехов).txt;A_P_Chehov
26;112;1531;7770;4;./data/A_P_Chehov\Рассказ старшего садовника (Чехов).txt;A_P_Chehov
9;40;383;2175;3;./data/A_P_Chehov\Рассказ, которому трудно подобрать название (Чехов).txt;A_P_Chehov
17;48;479;2500;1;./data/A_P_Chehov\Ревнитель (Чехов).txt;A_P_Chehov
1;7;80;543;0;./data/A_P_Chehov\Реклама (Чехов).txt;A_P_Chehov
10;50;201;1123;1;./data/A_P_Chehov\Рекламы и объявления (Чехов).txt;A_P_Chehov
39;116;753;3746;21;./data/A_P_Chehov\Репетитор (Чехов).txt;A_P_Chehov
6;16;132;599;0;./data/A_P_Chehov\Репка (Чехов).txt;A_P_Chehov
13;59;397;1966;7;./data/A_P_Chehov\Речь и ремешок (Чехов).txt;A_P_Chehov
31;97;1012;4997;14;./data/A_P_Chehov\Розовый чулок (Чехов).txt;A_P_Chehov
1;1;15;81;0;./data/A_P_Chehov\Роман (Чехов).txt;A_P_Chehov
1;18;151;803;0;./data/A_P_Chehov\Роман адвоката (Чехов).txt;A_P_Chehov
65;180;1589;8050;16;./data/A_P_Chehov\Роман с контрабасом (Чехов).txt;A_P_Chehov
5;103;1114;6163;1;./data/A_P_Chehov\Руководство для желающих жениться (Чехов).txt;A_P_Chehov
23;100;1213;6077;14;./data/A_P_Chehov\Русский уголь (Чехов).txt;A_P_Chehov
23;79;783;4098;5;./data/A_P_Chehov\Рыбье дело (Чехов).txt;A_P_Chehov
19;72;683;3306;7;./data/A_P_Chehov\Рыбья любовь (Чехов).txt;A_P_Chehov
16;80;676;3382;6;./data/A_P_Chehov\Рыцари без страха и упрёка (Чехов).txt;A_P_Chehov
17;68;469;2337;7;./data/A_P_Chehov\Ряженые (Чехов, 1883).txt;A_P_Chehov
11;63;744;3820;3;./data/A_P_Chehov\Ряженые (Чехов, 1885).txt;A_P_Chehov
15;44;299;1457;0;./data/A_P_Chehov\С женой поссорился (Чехов).txt;A_P_Chehov
60;139;979;4918;11;./data/A_P_Chehov\Салон де варьете (Чехов).txt;A_P_Chehov
16;48;373;1830;1;./data/A_P_Chehov\Самообольщение (Чехов).txt;A_P_Chehov
11;23;168;868;3;./data/A_P_Chehov\Самый большой город (Чехов).txt;A_P_Chehov
48;131;1136;5500;27;./data/A_P_Chehov\Сапоги (Чехов).txt;A_P_Chehov
66;203;2027;9533;19;./data/A_P_Chehov\Сапожник и нечистая сила (Чехов).txt;A_P_Chehov
44;149;1038;5051;4;./data/A_P_Chehov\Сборник для детей (Чехов).txt;A_P_Chehov
60;190;1606;8417;17;./data/A_P_Chehov\Свадьба (рассказ, Чехов).txt;A_P_Chehov
51;135;1574;8095;16;./data/A_P_Chehov\Свадьба с генералом (Чехов).txt;A_P_Chehov
29;94;842;4214;6;./data/A_P_Chehov\Светлая личность (Чехов).txt;A_P_Chehov
67;221;2336;11065;19;./data/A_P_Chehov\Свирель (Чехов).txt;A_P_Chehov
38;136;1024;5072;24;./data/A_P_Chehov\Свистуны (Чехов).txt;A_P_Chehov
67;188;1468;6753;28;./data/A_P_Chehov\Святая простота (Чехов).txt;A_P_Chehov
88;308;3162;16119;24;./data/A_P_Chehov\Святою ночью (Чехов).txt;A_P_Chehov
110;207;1353;6769;43;./data/A_P_Chehov\Сельские эскулапы (Чехов).txt;A_P_Chehov
44;100;1101;5547;8;./data/A_P_Chehov\Серьёзный шаг (Чехов).txt;A_P_Chehov
33;120;1539;7392;8;./data/A_P_Chehov\Сильные ощущения (Чехов).txt;A_P_Chehov
21;85;992;5072;6;./data/A_P_Chehov\Симулянты (Чехов).txt;A_P_Chehov
43;129;1525;7921;7;./data/A_P_Chehov\Сирена (Чехов).txt;A_P_Chehov
10;16;131;653;3;./data/A_P_Chehov\Сказка (Чехов).txt;A_P_Chehov
106;344;2545;12662;37;./data/A_P_Chehov\Скверная история (Чехов).txt;A_P_Chehov
62;204;1342;6854;31;./data/A_P_Chehov\Скорая помощь (Чехов).txt;A_P_Chehov
67;240;3049;14532;17;./data/A_P_Chehov\Скрипка Ротшильда (Чехов).txt;A_P_Chehov
122;379;4003;20305;43;./data/A_P_Chehov\Скука жизни (Чехов).txt;A_P_Chehov
428;1411;18309;90435;139;./data/A_P_Chehov\Скучная история (Чехов).txt;A_P_Chehov
57;140;1398;6877;11;./data/A_P_Chehov\Следователь (Чехов).txt;A_P_Chehov
23;84;698;3484;11;./data/A_P_Chehov\Слова, слова и слова (Чехов).txt;A_P_Chehov
9;9;115;669;0;./data/A_P_Chehov\Словотолкователь для «барышень» (Чехов).txt;A_P_Chehov
10;30;321;1676;2;./data/A_P_Chehov\Служебные пометки (Чехов).txt;A_P_Chehov
8;28;299;1573;2;./data/A_P_Chehov\Случаи mania grandiosa (Чехов).txt;A_P_Chehov
93;296;3258;16039;19;./data/A_P_Chehov\Случай из практики (Чехов).txt;A_P_Chehov
15;72;656;3571;5;./data/A_P_Chehov\Случай из судебной практики (Чехов).txt;A_P_Chehov
27;103;787;3765;22;./data/A_P_Chehov\Случай с классиком (Чехов).txt;A_P_Chehov
30;86;691;3525;5;./data/A_P_Chehov\Смерть чиновника (Чехов).txt;A_P_Chehov
54;133;1424;7197;7;./data/A_P_Chehov\Событие (Чехов).txt;A_P_Chehov
15;51;392;1864;7;./data/A_P_Chehov\Совет (Чехов).txt;A_P_Chehov
11;56;338;1757;5;./data/A_P_Chehov\Современные молитвы (Чехов).txt;A_P_Chehov
43;141;1503;7494;11;./data/A_P_Chehov\Сон (Чехов).txt;A_P_Chehov
31;98;759;3842;7;./data/A_P_Chehov\Сон репортёра (Чехов).txt;A_P_Chehov
19;86;1130;5714;4;./data/A_P_Chehov\Сонная одурь (Чехов).txt;A_P_Chehov
120;499;5813;28358;28;./data/A_P_Chehov\Соседи (Чехов).txt;A_P_Chehov
60;163;1595;7805;12;./data/A_P_Chehov\Спать хочется (Чехов).txt;A_P_Chehov
15;20;189;1120;0;./data/A_P_Chehov\Список лиц, имеющих право на бесплатный проезд по русским железным дорогам (Чехов).txt;A_P_Chehov
1;19;154;866;0;./data/A_P_Chehov\Список экспонентов, удостоенных чугунных медалей по русскому отделу на выставке в Амстердаме (Чехов).txt;A_P_Chehov
30;72;642;3283;10;./data/A_P_Chehov\Справка (Чехов).txt;A_P_Chehov
57;193;1560;7842;28;./data/A_P_Chehov\Средство от запоя (Чехов).txt;A_P_Chehov
25;180;1369;6372;23;./data/A_P_Chehov\Староста (Чехов).txt;A_P_Chehov
45;150;1422;6968;26;./data/A_P_Chehov\Старость (Чехов).txt;A_P_Chehov
32;156;1793;8657;6;./data/A_P_Chehov\Старый дом (Чехов).txt;A_P_Chehov
14;36;397;2151;1;./data/A_P_Chehov\Статистика (Чехов).txt;A_P_Chehov
23;55;645;3129;7;./data/A_P_Chehov\Стена (Чехов).txt;A_P_Chehov
64;191;1478;7480;29;./data/A_P_Chehov\Страдальцы (Чехов).txt;A_P_Chehov
37;131;1173;5558;24;./data/A_P_Chehov\Стража под стражей (Чехов).txt;A_P_Chehov
86;279;3915;18288;19;./data/A_P_Chehov\Страх (Чехов).txt;A_P_Chehov
50;144;1708;8465;13;./data/A_P_Chehov\Страхи (Чехов).txt;A_P_Chehov
49;155;1843;9106;21;./data/A_P_Chehov\Страшная ночь (Чехов).txt;A_P_Chehov
20;72;1138;5587;2;./data/A_P_Chehov\Студент (Чехов).txt;A_P_Chehov
60;165;1078;5395;27;./data/A_P_Chehov\Суд (Чехов).txt;A_P_Chehov
55;152;2011;9523;14;./data/A_P_Chehov\Супруга (Чехов).txt;A_P_Chehov
18;54;510;2402;6;./data/A_P_Chehov\Сущая правда (Чехов).txt;A_P_Chehov
64;197;1329;6609;29;./data/A_P_Chehov\Счастливчик (Чехов).txt;A_P_Chehov
74;235;2812;13880;17;./data/A_P_Chehov\Счастье (Чехов).txt;A_P_Chehov
4;23;228;1378;0;./data/A_P_Chehov\Съезд естествоиспытателей в Филадельфии (Чехов).txt;A_P_Chehov
15;50;297;1552;9;./data/A_P_Chehov\Тёмною ночью (Чехов).txt;A_P_Chehov
26;86;630;2718;17;./data/A_P_Chehov\Тёща-адвокат (Чехов).txt;A_P_Chehov
49;128;1153;6174;17;./data/A_P_Chehov\Тайна (Чехов).txt;A_P_Chehov
58;234;1715;8357;12;./data/A_P_Chehov\Тайны ста сорока четырех катастроф, или Русский Рокамболь (Чехов).txt;A_P_Chehov
118;435;5264;26158;37;./data/A_P_Chehov\Тайный советник (Чехов).txt;A_P_Chehov
39;124;1230;6201;12;./data/A_P_Chehov\Талант (Чехов).txt;A_P_Chehov
30;117;1455;6991;22;./data/A_P_Chehov\Тапёр (Чехов).txt;A_P_Chehov
49;131;1095;5135;22;./data/A_P_Chehov\Темнота (Чехов).txt;A_P_Chehov
9;123;1022;5676;0;./data/A_P_Chehov\Темпераменты (Чехов).txt;A_P_Chehov
157;526;5206;25893;59;./data/A_P_Chehov\Тина (Чехов).txt;A_P_Chehov
61;168;1859;9210;12;./data/A_P_Chehov\Тиф (Чехов).txt;A_P_Chehov
39;96;1269;6252;12;./data/A_P_Chehov\То была она! (Чехов).txt;A_P_Chehov
17;78;524;2712;13;./data/A_P_Chehov\Толстый и тонкий (Чехов).txt;A_P_Chehov
30;110;905;4474;6;./data/A_P_Chehov\Торжество победителя (Чехов).txt;A_P_Chehov
5;25;427;2208;1;./data/A_P_Chehov\Тост прозаиков (Чехов).txt;A_P_Chehov
36;108;1047;5316;2;./data/A_P_Chehov\Трагик (Чехов).txt;A_P_Chehov
696;2157;27178;131042;159;./data/A_P_Chehov\Три года (Чехов).txt;A_P_Chehov
42;130;1054;4965;13;./data/A_P_Chehov\Трифон (Чехов).txt;A_P_Chehov
56;193;1867;9511;26;./data/A_P_Chehov\Тряпка (Чехов).txt;A_P_Chehov
30;73;833;4403;4;./data/A_P_Chehov\Тссс! (Чехов).txt;A_P_Chehov
64;162;1371;6690;36;./data/A_P_Chehov\Ты и вы (Чехов).txt;A_P_Chehov
19;154;945;4822;7;./data/A_P_Chehov\Тысяча одна страсть, или Страшная ночь (Чехов).txt;A_P_Chehov
77;240;2247;10974;12;./data/A_P_Chehov\Тяжёлые люди (Чехов).txt;A_P_Chehov
6;46;501;2278;1;./data/A_P_Chehov\У Зелениных (Чехов).txt;A_P_Chehov
128;375;5488;26116;23;./data/A_P_Chehov\У знакомых (Чехов).txt;A_P_Chehov
7;18;122;619;0;./data/A_P_Chehov\У постели больного (Чехов).txt;A_P_Chehov
22;81;1062;5743;1;./data/A_P_Chehov\У предводительши (Чехов).txt;A_P_Chehov
50;100;517;2511;27;./data/A_P_Chehov\У телефона (Чехов).txt;A_P_Chehov
149;590;9247;44259;29;./data/A_P_Chehov\Убийство (Чехов).txt;A_P_Chehov
3;10;132;668;2;./data/A_P_Chehov\Угроза (Чехов).txt;A_P_Chehov
39;135;1181;5523;13;./data/A_P_Chehov\Удав и кролик (Чехов).txt;A_P_Chehov
25;88;642;3110;16;./data/A_P_Chehov\Умный дворник (Чехов).txt;A_P_Chehov
23;142;1207;5992;35;./data/A_P_Chehov\Унтер Пришибеев (Чехов).txt;A_P_Chehov
57;198;1527;7446;35;./data/A_P_Chehov\Упразднили! (Чехов).txt;A_P_Chehov
35;98;1132;5468;12;./data/A_P_Chehov\Устрицы (Чехов).txt;A_P_Chehov
39;87;916;4743;9;./data/A_P_Chehov\Утопленник (Чехов).txt;A_P_Chehov
53;184;2018;10471;15;./data/A_P_Chehov\Учитель (Чехов).txt;A_P_Chehov
209;578;7090;34634;36;./data/A_P_Chehov\Учитель словесности (Чехов).txt;A_P_Chehov
21;61;406;1921;14;./data/A_P_Chehov\Ушла (Чехов).txt;A_P_Chehov
22;57;468;2431;7;./data/A_P_Chehov\Филантроп (Чехов).txt;A_P_Chehov
9;25;194;1052;0;./data/A_P_Chehov\Философские определения жизни (Чехов).txt;A_P_Chehov
11;15;197;1070;2;./data/A_P_Chehov\Финтифлюшки (Чехов).txt;A_P_Chehov
34;177;959;4748;7;./data/A_P_Chehov\Хирургия (Чехов).txt;A_P_Chehov
17;97;714;3421;15;./data/A_P_Chehov\Хитрец (Чехов).txt;A_P_Chehov
142;476;5174;26025;39;./data/A_P_Chehov\Холодная кровь (Чехов).txt;A_P_Chehov
60;172;1586;7551;22;./data/A_P_Chehov\Хористка (Чехов).txt;A_P_Chehov
79;256;3150;16053;27;./data/A_P_Chehov\Хорошие люди (Чехов).txt;A_P_Chehov
47;127;1149;5767;16;./data/A_P_Chehov\Хороший конец (Чехов).txt;A_P_Chehov
43;171;1529;7900;10;./data/A_P_Chehov\Художество (Чехов).txt;A_P_Chehov
420;1258;11525;59121;133;./data/A_P_Chehov\Цветы запоздалые (Чехов).txt;A_P_Chehov
31;147;1116;5501;15;./data/A_P_Chehov\Циник (Чехов).txt;A_P_Chehov
220;752;9753;47359;70;./data/A_P_Chehov\Чёрный монах (Чехов).txt;A_P_Chehov
5;19;181;911;2;./data/A_P_Chehov\Человек (Чехов).txt;A_P_Chehov
93;309;4064;19448;28;./data/A_P_Chehov\Человек в футляре (Чехов).txt;A_P_Chehov
42;121;943;4921;5;./data/A_P_Chehov\Чтение (Чехов).txt;A_P_Chehov
8;15;121;667;1;./data/A_P_Chehov\Что лучше (Чехов).txt;A_P_Chehov
17;23;219;1298;0;./data/A_P_Chehov\Что чаще всего встречается в романах, повестях и т. п. (Чехов).txt;A_P_Chehov
48;139;1489;7769;18;./data/A_P_Chehov\Чужая беда (Чехов).txt;A_P_Chehov
8;14;242;1269;0;./data/A_P_Chehov\Шампанское (Чехов, 1885).txt;A_P_Chehov
40;139;1687;8218;16;./data/A_P_Chehov\Шампанское (Чехов, 1887).txt;A_P_Chehov
235;760;5354;26751;99;./data/A_P_Chehov\Шведская спичка (Чехов).txt;A_P_Chehov
27;122;1266;5796;17;./data/A_P_Chehov\Шило в мешке (Чехов).txt;A_P_Chehov
2;13;262;1229;3;./data/A_P_Chehov\Шульц (Чехов).txt;A_P_Chehov
37;106;1258;5767;12;./data/A_P_Chehov\Шуточка (Чехов).txt;A_P_Chehov
27;37;235;1161;12;./data/A_P_Chehov\Экзамен (Чехов).txt;A_P_Chehov
